Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target
11	AEBP2	none	24051	AE binding protein 2	121536	Q6ZN18	AEBP2_HUMAN	"Pfam-B_22101 PB022101 1-79, Pfam-B_8048 PB008048 401-515, zf-H2C2_2 PF13465 315-341"	Aebp2	1338038	Q9Z248	AEBP2_MOUSE	none	none	Histone modification write cofactor	Histone methylation	15225548	PRC2	DNA	none	none	none	15225548
12	AICDA	none	13203	activation-induced cytidine deaminase	57379	Q9GZX7	AICDA_HUMAN	APOBEC_N PF08210 11-181	Aicda	1342279	Q9WVE0	AICDA_MOUSE	APOBEC	Apolipoprotein B mRNA editing enzymes	DNA modification	DNA demethylation	21496894	APOB_mRNA_editosome	DNA	"ssDNA, hmC"	hmU	none	21496894
13	AIRE	none	360	autoimmune regulator	326	O43918	AIRE_HUMAN	"PHD PF00628 298-343, Pfam-B_9104 PB009104 481-543, SAND PF01342 189-249, Sp100 PF03172 1-106"	Aire	1338803	Q9Z0E3	AIRE_MOUSE	PHF	"Zinc fingers, PHD-type"	"Histone modification read, TF"	none	18292755	none	"histone, DNA"	"H3K4, H3K4me3, DNA motif"	none	none	18292755
14	ALKBH1	New	17911	"alkB, alkylation repair homolog 1 (E. coli)"	8846	Q13686	ALKB1_HUMAN	2OG-FeII_Oxy_2 PF13532 98-344	Alkbh1	2384034	P0CB42	ALKB1_MOUSE	ALKB	Alkylation repair homologs	Histone modification	none	22961808	none	histone	H2A	none	none	none
15	ANKRD32	none	25408	ankyrin repeat domain 32	84250	Q9BQI6	ANR32_HUMAN	"Ank_2 PF12796 783-871 845-931, Pfam-B_101142 PB101142 932-1056, Pfam-B_12624 PB012624 231-430, Pfam-B_18156 PB018156 1-229, Pfam-B_81366 PB081366 641-782"	Ankrd32	2145448	Q8R3P9	ANR32_MOUSE	ANKRD	Ankyrin repeat domain containing	Histone modification read	none	21423274	none	histone	H2AXS139	none	none	21423274
16	ANP32A	none	13233	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"	8125	P39687	AN32A_HUMAN	LRR_9 PF14580 17-166	Anp32a	108447	O35381	AN32A_MOUSE	ANP32	ANP32 acidic nuclear phosphoproteins	Chromatin remodeling cofactor	none	11163245	none	chromatin	none	none	none	11163245
17	ANP32B	none	16677	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"	10541	Q92688	AN32B_HUMAN	"LRR_4 PF12799 88-136, Pfam-B_30686 PB030686 171-249"	Anp32b	1914878	Q9EST5	AN32B_MOUSE	ANP32	ANP32 acidic nuclear phosphoproteins	Histone chaperone	none	20538007	none	histone	"H3, H4"	none	none	20538007
18	ANP32E	none	16673	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"	81611	Q9BTT0	AN32E_HUMAN	"LRR_4 PF12799 88-133, LRR_8 PF13855 65-125, Pfam-B_38005 PB038005 215-262, Pfam-B_94319 PB094319 171-200"	Anp32e	1913721	P97822	AN32E_MOUSE	ANP32	ANP32 acidic nuclear phosphoproteins	"Histone chaperone, Histone modification read"	none	24463511	SWR	histone	H2A.Z	none	none	24463511
19	APBB1	New	581	"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"	322	O00213	APBB1_HUMAN	"PID PF00640 370-509 543-664, Pfam-B_23321 PB023321 1-215, WW PF00397 255-283"	Apbb1	107765	Q9QXJ1	APBB1_MOUSE	none	none	Histone modification	none	21403922	none	histone	H2AX	none	none	none
20	APEX1	New	587	APEX nuclease (multifunctional DNA repair enzyme) 1	328	P27695	APEX1_HUMAN	"Exo_endo_phos PF03372 65-309, Pfam-B_21616 PB021616 1-39"	Apex1	88042	P28352	APEX1_MOUSE	none	none	DNA modification cofactor	DNA demethylation	none	none	DNA	none	none	none	none
21	APOBEC1	none	604	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"	339	P41238	ABEC1_HUMAN	APOBEC_N PF08210 17-186	Apobec1	103298	P51908	ABEC1_MOUSE	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	APOB_mRNA_editosome	"DNA, RNA"	"ssDNA, mRNA, mC"	U	none	22001110
22	APOBEC2	none	605	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2"	10930	Q9Y235	ABEC2_HUMAN	"APOBEC_C PF05240 159-216, Pfam-B_38491 PB038491 1-39"	Apobec2	1343178	Q9WV35	ABEC2_MOUSE	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	"21496894, 22001110"	none	"DNA, RNA"	"ssDNA, mRNA, mC"	hmU	none	"22001110, 21496894"
23	APOBEC3A	none	17343	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A"	200315	P31941	ABC3A_HUMAN	APOBEC_C PF05240 133-187	none	none	none	none	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	none	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	none	22001110
24	APOBEC3B	none	17352	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"	9582	Q9UH17	ABC3B_HUMAN	"APOBEC_C PF05240 316-370, APOBEC_N PF08210 11-190"	Apobec3	1933111	Q99J72	ABEC3_MOUSE	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	none	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	none	22001110
25	APOBEC3C	none	17353	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C"	27350	Q9NRW3	ABC3C_HUMAN	APOBEC_C PF05240 128-182	none	none	none	none	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	none	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	none	22001110
26	APOBEC3D	none	17354	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D"	140564	Q96AK3	ABC3D_HUMAN	APOBEC_C PF05240 140-194 324-378	none	none	none	none	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	21835787	none	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	none	22001110
27	APOBEC3F	none	17356	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F"	200316	Q8IUX4	ABC3F_HUMAN	APOBEC_N PF08210 3-189 199-373	none	none	none	none	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	APOB_mRNA_editosome	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	none	22001110
28	APOBEC3G	none	17357	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G"	60489	Q9HC16	ABC3G_HUMAN	APOBEC_N PF08210 3-182 202-380	none	none	none	none	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	APOB_mRNA_editosome	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	none	22001110
29	APOBEC3H	none	24100	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H"	164668	Q6NTF7	ABC3H_HUMAN	"APOBEC_C PF05240 116-174, dCMP_cyt_deam_1 PF00383 24-99"	none	none	none	none	APOBEC	Apolipoprotein B mRNA editing enzymes	"DNA modification, RNA modification"	"DNA demethylation, mRNA editing"	22001110	APOB_mRNA_editosome	"DNA, RNA"	"ssDNA, mRNA, mC"	dhU	none	22001110
30	ARID1A	none	11110	AT rich interactive domain 1A (SWI-like)	8289	O14497	ARI1A_HUMAN	"ARID PF01388 1015-1104, DUF3518 PF12031 1975-2231, Pfam-B_16906 PB016906 451-499, Pfam-B_1854 PB001854 281-379"	Arid1a	1935147	A2BH40	ARI1A_MOUSE	ARID	none	Chromatin remodeling cofactor	none	18448678	"BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, WINAC, bBAF, SWI/SNF BRM-BRG1"	DNA	DNA motif	none	none	18448678
31	ARID1B	none	18040	AT rich interactive domain 1B (SWI1-like)	57492	Q8NFD5	ARI1B_HUMAN	"ARID PF01388 1050-1140, DUF3518 PF12031 1926-2182, Pfam-B_60945 PB060945 291-369, Pfam-B_7257 PB007257 371-449"	Arid1b	1926129	none	none	ARID	none	Histone modification write	Histone ubiquitination	20086098	"BAF, nBAF, npBAF, PBAF, SWI/SNF-like_EPAFa, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1"	"histone, DNA"	"H2BK120, DNA motif"	none	none	20086098
32	ARID2	none	18037	"AT rich interactive domain 2 (ARID, RFX-like)"	196528	Q68CP9	ARID2_HUMAN	"ARID PF01388 10-101, Pfam-B_11884 PB011884 1660-1747, Pfam-B_14804 PB014804 1051-1098, Pfam-B_649 PB000649 1529-1658, Pfam-B_6603 PB006603 1239-1268, RFX_DNA_binding PF02257 517-604"	Arid2	1924294	none	none	ARID	none	Chromatin remodeling cofactor	none	15640446	PBAF	DNA	DNA motif	none	none	15640446
33	ARID4A	none	9885	AT rich interactive domain 4A (RBP1-like)	5926	P29374	ARI4A_HUMAN	"ARID PF01388 306-397, Pfam-B_1988 PB001988 1071-1111 1166-1240, RBB1NT PF08169 168-263, Tudor-knot PF11717 573-630"	Arid4a	2444354	none	none	ARID	none	Histone modification write cofactor	Histone acetylation	15640446	mSin3A	DNA	DNA motif	none	none	15640446
34	ARID4B	none	15550	AT rich interactive domain 4B (RBP1-like)	51742	Q4LE39	ARI4B_HUMAN	"ARID PF01388 304-394, Pfam-B_15110 PB015110 771-828, RBB1NT PF08169 166-264, Tudor-knot PF11717 569-626"	Arid4b	2137512	A2CG63	ARI4B_MOUSE	ARID	none	Histone modification write cofactor	Histone acetylation	15640446	mSin3A	DNA	DNA motif	none	none	15640446
35	ARNTL	none	701	aryl hydrocarbon receptor nuclear translocator-like	406	O00327	BMAL1_HUMAN	"HLH PF00010 73-126, PAS PF00989 146-253, PAS_11 PF14598 337-444, Pfam-B_2781 PB002781 455-619"	Arntl	1096381	Q9WTL8	BMAL1_MOUSE	bHLH	Basic helix-loop-helix proteins	"Histone modification write cofactor, TF"	TF activator	"14645221, 24395244"	none	histone	none	none	none	"14645221, 24395244"
36	ARRB1	New	711	"arrestin, beta 1"	408	P49407	ARRB1_HUMAN	"Arrestin_C PF02752 193-356, Arrestin_N PF00339 18-174"	Arrb1	99473	Q8BWG8	ARRB1_MOUSE	none	none	Histone modification	none	"17618287, 16325578"	none	histone	none	none	none	none
37	ASF1A	none	20995	anti-silencing function 1A histone chaperone	25842	Q9Y294	ASF1A_HUMAN	ASF1_hist_chap PF04729 1-154	Asf1a	1913653	Q9CQE6	ASF1A_MOUSE	none	none	Histone chaperone	none	10759893	none	histone	"H3, H4"	none	none	10759893
38	ASF1B	none	20996	anti-silencing function 1B histone chaperone	55723	Q9NVP2	ASF1B_HUMAN	ASF1_hist_chap PF04729 1-154	Asf1b	1914179	Q9DAP7	ASF1B_MOUSE	none	none	Histone chaperone	none	12842904	none	histone	"H3, H4"	none	none	12842904
39	ASH1L	none	19088	"ash1 (absent, small, or homeotic)-like (Drosophila)"	55870	Q9NR48	ASH1L_HUMAN	"BAH PF01426 2661-2798, Bromodomain PF00439 2453-2538, PHD PF00628 2587-2631, Pfam-B_14208 PB014208 1818-1847, Pfam-B_18246 PB018246 2310-2419, Pfam-B_25586 PB025586 1473-1507, Pfam-B_4663 PB004663 1023-1054 1180-1377, Pfam-B_6310 PB006310 1509-1554, SET PF00856 2156-2261"	Ash1l	2183158	Q99MY8	ASH1L_MOUSE	"KMT, PHF"	"Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type"	Histone modification write	Histone methylation	21239497	none	histone	H3K36	H3K36me	none	21239497
40	ASH2L	none	744	"ash2 (absent, small, or homeotic)-like (Drosophila)"	9070	Q9UBL3	ASH2L_HUMAN	"Pfam-B_11232 PB011232 499-622, Pfam-B_12412 PB012412 361-417, SPRY PF00622 418-497"	Ash2l	1344416	Q91X20	ASH2L_MOUSE	PHF	"Zinc fingers, PHD-type"	Histone modification write cofactor	Histone methylation	21285357	"COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4"	histone	none	none	none	21285357
41	ASXL1	none	18318	additional sex combs like transcriptional regulator 1	171023	Q8IXJ9	ASXL1_HUMAN	"ASXH PF13919 231-362, HARE-HTH PF05066 11-83, PHD_3 PF13922 1475-1539, Pfam-B_4087 PB004087 970-1084"	Asxl1	2684063	P59598	ASXL1_MOUSE	none	none	"Histone modification erase, Polycomb group (PcG) protein"	Histone deubiquitination	20436459	PR-DUB	histone	H2AK119	H2AK119ub1	none	20436459
42	ASXL2	none	23805	additional sex combs like transcriptional regulator 2	55252	Q76L83	ASXL2_HUMAN	"ASXH PF13919 249-381, HARE-HTH PF05066 11-83, PHD_3 PF13922 1370-1433, Pfam-B_4087 PB004087 944-1090"	Asxl2	1922552	Q8BZ32	ASXL2_MOUSE	none	none	Histone modification read	none	21047783	none	histone	"H3K4, H3K9"	none	none	21047783
43	ASXL3	none	29357	additional sex combs like transcriptional regulator 3	80816	Q9C0F0	ASXL3_HUMAN	"ASXH PF13919 229-361, HARE-HTH PF05066 10-81, PHD_3 PF13922 2183-2246, Pfam-B_17129 PB017129 941-1279, Pfam-B_20113 PB020113 751-939, Pfam-B_27498 PB027498 1341-1411, Pfam-B_34336 PB034336 1281-1339, Pfam-B_6874 PB006874 601-669"	Asxl3	2685175	Q8C4A5	ASXL3_MOUSE	none	none	"Scaffold protein, Polycomb group (PcG) protein"	none	23736028	none	histone	none	none	none	23736028
44	ATAD2	none	30123	"ATPase family, AAA domain containing 2"	29028	Q6PL18	ATAD2_HUMAN	"AAA PF00004 463-598, Bromodomain PF00439 993-1075, Pfam-B_11064 PB011064 870-958, Pfam-B_23116 PB023116 1-56, Pfam-B_40477 PB040477 57-79"	Atad2	1917722	Q8CDM1	ATAD2_MOUSE	AATP	ATPases / AAA-type	Chromatin remodeling	none	17998543	none	chromatin	none	none	none	17998543
45	ATAD2B	none	29230	"ATPase family, AAA domain containing 2B"	54454	Q9ULI0	ATD2B_HUMAN	"AAA PF00004 437-572, Bromodomain PF00439 967-1050, Pfam-B_11064 PB011064 896-932, Pfam-B_130965 PB130965 330-388"	Atad2b	2444798	none	none	AATP	ATPases / AAA-type	Histone modification read	none	15308210	none	histone	"H1.4, H2A, H2B, H3 and H4"	none	none	15308210
46	ATF2	none	784	activating transcription factor 2	1386	P15336	ATF2_HUMAN	bZIP_1 PF00170 349-413	Atf2	109349	P16951	ATF2_MOUSE	bZIP	Basic leucine zipper proteins	"Histone modification write, TF"	"Histone acetylation, TF activator"	10821277	none	"histone, DNA"	"H2B, H4, DNA motif"	none	none	10821277
47	ATF7IP	none	20092	activating transcription factor 7 interacting protein	55729	Q6VMQ6	MCAF1_HUMAN	Pfam-B_2570 PB002570 450-518	Atf7ip	1858965	Q7TT18	MCAF1_MOUSE	none	none	Histone modification write cofactor	Histone methylation	14536086	none	histone	none	none	none	14536086
48	ATM	none	795	ATM serine/threonine kinase	472	Q13315	ATM_HUMAN	"FAT PF02259 2096-2489, FATC PF02260 3024-3056, PI3_PI4_kinase PF00454 2711-2962, Pfam-B_10220 PB010220 1575-1713, Pfam-B_13450 PB013450 602-830, Pfam-B_16049 PB016049 1715-1818, Pfam-B_17604 PB017604 1819-1953, Pfam-B_3386 PB003386 861-1458, TAN PF11640 5-166"	Atm	107202	Q62388	ATM_MOUSE	none	none	Histone modification write	Histone phosphorylation	19261749	none	histone	H2AXS139	none	none	19261749
49	ATN1	none	3033	atrophin 1	1822	P54259	ATN1_HUMAN	Atrophin-1 PF03154 1-163 349-1190	Atn1	104725	O35126	ATN1_MOUSE	none	none	Histone modification erase cofactor	none	10973986	none	histone	none	none	none	10973986
50	ATR	none	882	ATR serine/threonine kinase	545	Q13535	ATR_HUMAN	"FAT PF02259 1771-2092, FATC PF02260 2612-2644, PI3_PI4_kinase PF00454 2321-2567, Pfam-B_15857 PB015857 1226-1489, Pfam-B_17853 PB017853 1-129, Pfam-B_20071 PB020071 291-659, Pfam-B_21066 PB021066 131-289, Pfam-B_21726 PB021726 661-1009, Pfam-B_22672 PB022672 1011-1079, UME PF08064 1119-1225"	Atr	108028	Q9JKK8	ATR_MOUSE	none	none	Histone modification write	Histone phosphorylation	11673449	none	histone	H2AX	none	none	11673449
51	ATRX	none	886	alpha thalassemia/mental retardation syndrome X-linked	546	P46100	ATRX_HUMAN	"Helicase_C PF00271 2076-2155, Pfam-B_12326 PB012326 1906-2016, Pfam-B_14952 PB014952 1242-1362, Pfam-B_16104 PB016104 2368-2490, Pfam-B_16400 PB016400 1424-1474, Pfam-B_17163 PB017163 1364-1422, Pfam-B_19720 PB019720 751-889, Pfam-B_24253 PB024253 1181-1239, Pfam-B_3534 PB003534 45-304, SNF2_N PF00176 1563-1889"	Atrx	103067	Q61687	ATRX_MOUSE	none	none	Chromatin remodeling	none	9499421	none	histone	"H3K9me2, H3K9me3, H3K4"	none	none	"9499421, 21666677"
52	ATXN7	none	10560	ataxin 7	6314	O15265	ATX7_HUMAN	"Pfam-B_15485 PB015485 781-879, Pfam-B_23658 PB023658 129-174, Pfam-B_6735 PB006735 491-579, SCA7 PF08313 318-397"	Atxn7	2179277	Q8R4I1	ATX7_MOUSE	ATXN	Ataxins	Histone modification write cofactor	Histone acetylation	16494529	SAGA	histone	none	none	none	16494529
53	ATXN7L3	none	25416	ataxin 7-like 3	56970	Q14CW9	AT7L3_HUMAN	"Pfam-B_25595 PB025595 276-345, SCA7 PF08313 201-239, Sgf11 PF08209 80-112"	Atxn7l3	3036270	A2AWT3	AT7L3_MOUSE	none	none	Histone modification erase cofactor	Histone deubiquitination	18206972	SAGA	histone	none	none	none	18206972
54	AURKA	none	11393	aurora kinase A	6790	O14965	AURKA_HUMAN	"Pfam-B_20489 PB020489 1-59, Pkinase PF00069 133-383"	Aurka	894678	P97477	AURKA_MOUSE	PPP1R	"Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits"	Histone modification write	Histone phosphorylation	12576638	none	histone	H3	H3S10ph	none	12576638
55	AURKB	none	11390	aurora kinase B	9212	Q96GD4	AURKB_HUMAN	"Pfam-B_34716 PB034716 1-46, Pkinase PF00069 77-327"	Aurkb	107168	O70126	AURKB_MOUSE	PPP1R	"Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits"	Histone modification write	Histone phosphorylation	11856369	none	histone	"H3S10, H3S28"	none	none	11856369
56	AURKC	none	11391	aurora kinase C	6795	Q9UQB9	AURKC_HUMAN	Pkinase PF00069 43-293	Aurkc	1321119	O88445	AURKC_MOUSE	none	none	Histone modification write	Histone phosphorylation	15499654	none	histone	"H3S10, H3S28"	none	none	15499654
57	BABAM1	none	25008	BRISC and BRCA1 A complex member 1	29086	Q9NWV8	BABA1_HUMAN	Pfam-B_4074 PB004074 1-327	Babam1	1915501	Q3UI43	BABA1_MOUSE	none	none	Histone modification erase cofactor	Histone deubiquitination	19261746	"BRISC, BRCA1-A"	histone	none	none	none	19261746
58	BAHD1	none	29153	bromo adjacent homology domain containing 1	22893	Q8TBE0	BAHD1_HUMAN	BAH PF01426 623-779	Bahd1	2139371	Q497V6	BAHD1_MOUSE	none	none	Chromatin remodeling	none	19666599	none	histone	H3K27me3	none	none	19666599
59	BANP	none	13450	BTG3 associated nuclear protein	54971	Q8N9N5	BANP_HUMAN	BEN PF10523 249-322	Banp	1889023	Q8VBU8	BANP_MOUSE	BEND	BEN domain containing	Histone modification write	Histone acetylation	16166625	none	histone	"H3K9, H4K8"	none	none	16166625
60	BAP1	none	950	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	8314	Q92560	BAP1_HUMAN	"Peptidase_C12 PF01088 4-217, Pfam-B_14567 PB014567 441-579, Pfam-B_16218 PB016218 271-439, Pfam-B_4660 PB004660 581-693"	Bap1	1206586	Q99PU7	BAP1_MOUSE	none	none	"Histone modification erase, Polycomb group (PcG) protein"	Histone deubiquitination	20436459	PR-DUB	histone	H2AK119ub1	H2AK119	none	"19815555, 19188440, 20436459"
61	BARD1	none	952	BRCA1 associated RING domain 1	580	Q99728	BARD1_HUMAN	"Ank PF00023 427-459 460-491 493-525, BRCT PF00533 568-640, Pfam-B_30184 PB030184 161-239, Pfam-B_32178 PB032178 241-290, Pfam-B_32432 PB032432 291-339, Pfam-B_33025 PB033025 723-775, zf-RING_6 PF14835 41-105"	Bard1	1328361	O70445	BARD1_MOUSE	ANKRD	Ankyrin repeat domain containing	Histone modification write	Histone ubiquitination	19916563	"BRCC, BRCA1-A"	histone	"H2AX, H2A, H2B, H3, H4"	"H2AXub, H2Aub, H2Bub, H3ub, H4ub"	none	"19916563, 12485996"
62	BAZ1A	none	960	"bromodomain adjacent to zinc finger domain, 1A"	11177	Q9NRL2	BAZ1A_HUMAN	"Bromodomain PF00439 1438-1521, DDT PF02791 422-487, PHD PF00628 1150-1198, Pfam-B_18021 PB018021 670-767, Pfam-B_18567 PB018567 769-877, Pfam-B_19398 PB019398 1210-1430, WAC_Acf1_DNA_bd PF10537 22-122, WHIM1 PF15612 592-640"	Baz1a	1309478	O88379	BAZ1A_MOUSE	PHF	"Zinc fingers, PHD-type"	Histone chaperone	none	14759371	"ACF, CHRAC"	histone	none	none	none	14759371
63	BAZ1B	none	961	"bromodomain adjacent to zinc finger domain, 1B"	9031	Q9UIG0	BAZ1B_HUMAN	"Bromodomain PF00439 1348-1431, PHD PF00628 1186-1234, WAC_Acf1_DNA_bd PF10537 20-120, WHIM1 PF15612 724-773, WHIM2 PF15613 899-936, WHIM3 PF15614 991-1031"	Baz1b	1353499	Q9Z277	BAZ1B_MOUSE	PHF	"Zinc fingers, PHD-type"	Histone modification write	Histone phosphorylation	19092802	"B-WICH, WINAC"	histone	"H2AXT142, H3"	H2AXY142ph	none	19092802
64	BAZ2A	none	962	"bromodomain adjacent to zinc finger domain, 2A"	11176	Q9UIF9	BAZ2A_HUMAN	"Bromodomain PF00439 1802-1885, DDT PF02791 848-910, MBD PF01429 546-620, PHD PF00628 1678-1726, Pfam-B_14139 PB014139 1518-1541, Pfam-B_1702 PB001702 2-228, Pfam-B_25722 PB025722 1211-1279, Pfam-B_3124 PB003124 701-789 1085-1136, Pfam-B_32186 PB032186 1484-1516, Pfam-B_6766 PB006766 331-489, WHIM1 PF15612 950-999, WHIM3 PF15614 1439-1480"	Baz2a	2151152	Q91YE5	BAZ2A_MOUSE	PHF	"Zinc fingers, PHD-type"	"Chromatin remodeling, Histone modification erase"	Histone deacetylation	11532953	NoRC	"histone, DNA"	"H4K16ac, DNA motif"	"H4K5, H4K8, H4K12"	none	11532953
65	BAZ2B	none	963	"bromodomain adjacent to zinc finger domain, 2B"	29994	Q9UIF8	BAZ2B_HUMAN	"Bromodomain PF00439 2069-2151, DDT PF02791 1087-1149, MBD PF01429 739-813, PHD PF00628 1933-1981, Pfam-B_10350 PB010350 521-649, Pfam-B_12038 PB012038 1200-1479, Pfam-B_13066 PB013066 91-399, Pfam-B_1587 PB001587 401-519, Pfam-B_17078 PB017078 1618-1728, Pfam-B_17427 PB017427 1-89, Pfam-B_9375 PB009375 1481-1616"	Baz2b	2442782	none	none	PHF	"Zinc fingers, PHD-type"	Histone modification read	none	22464331	none	"histone, DNA"	"H1.4ac, H2Aac, H2Bac, H3ac,  H4Kac"	none	none	22464331
